Delta	P		PP		PcP		PKPab		PKPbc		PKPdf		S		SS		ScS		SKSac		SKSdf	
	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s
0	0	0	0	0	8	32	999	999	999	999	999	999	0	0	0	0	15	36	999	999	999	999
1	0	19	0	19	8	32	999	999	999	999	999	999	0	32	0	32	15	36	999	999	999	999
2	0	35	0	38	8	32	999	999	999	999	999	999	1	1	1	4	15	36	999	999	999	999
3	0	49	0	56	8	32	999	999	999	999	999	999	1	25	1	36	15	37	999	999	999	999
4	1	3	1	10	8	32	999	999	999	999	999	999	1	50	2	2	15	37	999	999	999	999
5	1	16	1	24	8	33	999	999	999	999	999	999	2	15	2	26	15	38	999	999	999	999
6	1	30	1	38	8	33	999	999	999	999	999	999	2	39	2	51	15	39	999	999	999	999
7	1	44	1	51	8	34	999	999	999	999	999	999	3	4	3	16	15	40	999	999	999	999
8	1	57	2	5	8	35	999	999	999	999	999	999	3	29	3	40	15	41	999	999	999	999
9	2	11	2	19	8	36	999	999	999	999	999	999	3	53	4	5	15	43	999	999	999	999
10	2	25	2	33	8	36	999	999	999	999	999	999	4	18	4	30	15	45	999	999	999	999
11	2	39	2	46	8	37	999	999	999	999	999	999	4	42	4	54	15	46	999	999	999	999
12	2	52	3	0	8	39	999	999	999	999	999	999	5	7	5	19	15	48	999	999	999	999
13	3	6	3	14	8	40	999	999	999	999	999	999	5	31	5	43	15	51	999	999	999	999
14	3	20	3	27	8	41	999	999	999	999	999	999	5	56	6	8	15	53	999	999	999	999
15	3	33	3	41	8	42	999	999	999	999	999	999	6	20	6	33	15	55	999	999	999	999
16	3	46	3	55	8	44	999	999	999	999	999	999	6	44	6	57	15	58	999	999	999	999
17	3	59	4	9	8	45	999	999	999	999	999	999	7	9	7	22	16	1	999	999	999	999
18	4	12	4	22	8	47	999	999	999	999	999	999	7	33	7	46	16	4	999	999	999	999
19	4	23	4	36	8	49	999	999	999	999	999	999	7	57	8	11	16	7	999	999	999	999
20	4	34	4	50	8	50	999	999	999	999	999	999	8	20	8	36	16	10	999	999	999	999
21	4	45	5	3	8	52	999	999	999	999	999	999	8	40	9	0	16	14	999	999	999	999
22	4	56	5	17	8	54	999	999	999	999	999	999	8	59	9	25	16	17	999	999	999	999
23	5	6	5	31	8	56	999	999	999	999	999	999	9	18	9	49	16	21	999	999	999	999
24	5	16	5	45	8	58	999	999	999	999	999	999	9	34	10	14	16	25	999	999	999	999
25	5	25	5	58	9	1	999	999	999	999	999	999	9	50	10	38	16	29	999	999	999	999
26	5	35	6	12	9	3	999	999	999	999	999	999	10	6	11	3	16	33	999	999	999	999
27	5	44	6	26	9	5	999	999	999	999	999	999	10	22	11	27	16	38	999	999	999	999
28	5	53	6	39	9	8	999	999	999	999	999	999	10	38	11	51	16	42	999	999	999	999
29	6	1	6	53	9	10	999	999	999	999	999	999	10	53	12	16	16	47	999	999	999	999
30	6	10	7	6	9	13	999	999	999	999	999	999	11	9	12	40	16	51	999	999	999	999
31	6	19	7	20	9	15	999	999	999	999	999	999	11	25	13	5	16	56	999	999	999	999
32	6	28	7	33	9	18	999	999	999	999	999	999	11	40	13	29	17	1	999	999	999	999
33	6	37	7	46	9	21	999	999	999	999	999	999	11	56	13	53	17	6	999	999	999	999
34	6	45	7	58	9	23	999	999	999	999	999	999	12	12	14	17	17	11	999	999	999	999
35	6	54	8	11	9	26	999	999	999	999	999	999	12	27	14	42	17	17	999	999	999	999
36	7	3	8	23	9	29	999	999	999	999	999	999	12	42	15	6	17	22	999	999	999	999
37	7	11	8	35	9	32	999	999	999	999	999	999	12	58	15	30	17	28	999	999	999	999
38	7	20	8	46	9	35	999	999	999	999	999	999	13	13	15	54	17	33	999	999	999	999
39	7	28	8	57	9	38	999	999	999	999	999	999	13	28	16	18	17	39	999	999	999	999
40	7	36	9	8	9	42	999	999	999	999	999	999	13	43	16	40	17	45	999	999	999	999
41	7	45	9	19	9	45	999	999	999	999	999	999	13	58	16	59	17	51	999	999	999	999
42	7	53	9	30	9	48	999	999	999	999	999	999	14	13	17	19	17	57	999	999	999	999
43	8	1	9	41	9	51	999	999	999	999	999	999	14	27	17	39	18	3	999	999	999	999
44	8	9	9	51	9	55	999	999	999	999	999	999	14	42	17	59	18	9	999	999	999	999
