Delta	P		PP		PcP		PKPab		PKPbc		PKPdf		S		SS		ScS		SKSac		SKSdf	
	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m		m   	s
0	0	0.00	0	0.00	8	31.69	N	N	N	N	N	N	0	0.00	0	0.00	15	35.78	N	N	N	N
1	0	19.17	0	19.17	8	31.74	N	N	N	N	N	N	0	32.14	0	32.14	15	35.87	N	N	N	N
2	0	35.03	0	38.34	8	31.88	N	N	N	N	N	N	1	0.75	1	4.27	15	36.14	N	N	N	N
3	0	48.78	0	56.30	8	32.12	N	N	N	N	N	N	1	25.43	1	36.41	15	36.58	N	N	N	N
4	1	2.53	1	10.05	8	32.46	N	N	N	N	N	N	1	50.10	2	1.50	15	37.20	N	N	N	N
5	1	16.27	1	23.81	8	32.89	N	N	N	N	N	N	2	14.76	2	26.18	15	37.99	N	N	N	N
6	1	30.01	1	37.56	8	33.41	N	N	N	N	N	N	2	39.41	2	50.86	15	38.96	N	N	N	N
7	1	43.75	1	51.31	8	34.03	N	N	N	N	N	N	3	4.04	3	15.54	15	40.11	N	N	N	N
8	1	57.47	2	5.06	8	34.75	N	N	N	N	N	N	3	28.65	3	40.21	15	41.43	N	N	N	N
9	2	11.19	2	18.80	8	35.56	N	N	N	N	N	N	3	53.24	4	4.87	15	42.92	N	N	N	N
10	2	24.90	2	32.55	8	36.46	N	N	N	N	N	N	4	17.80	4	29.53	15	44.58	N	N	N	N
11	2	38.59	2	46.29	8	37.45	N	N	N	N	N	N	4	42.33	4	54.18	15	46.42	N	N	N	N
12	2	52.27	3	0.03	8	38.54	N	N	N	N	N	N	5	6.83	5	18.83	15	48.42	N	N	N	N
13	3	5.94	3	13.76	8	39.72	N	N	N	N	N	N	5	31.29	5	43.46	15	50.59	N	N	N	N
14	3	19.59	3	27.49	8	40.98	N	N	N	N	N	N	5	55.70	6	8.09	15	52.93	N	N	N	N
15	3	33.23	3	41.22	8	42.34	N	N	N	N	N	N	6	20.08	6	32.70	15	55.43	N	N	N	N
16	3	46.37	3	54.95	8	43.78	N	N	N	N	N	N	6	44.41	6	57.31	15	58.09	N	N	N	N
17	3	59.13	4	8.66	8	45.31	N	N	N	N	N	N	7	8.69	7	21.90	16	0.92	N	N	N	N
18	4	11.57	4	22.38	8	46.93	N	N	N	N	N	N	7	32.92	7	46.48	16	3.90	N	N	N	N
19	4	23.16	4	36.09	8	48.63	N	N	N	N	N	N	7	57.10	8	11.05	16	7.04	N	N	N	N
20	4	34.10	4	49.79	8	50.41	N	N	N	N	N	N	8	19.77	8	35.60	16	10.33	N	N	N	N
21	4	44.95	5	3.49	8	52.28	N	N	N	N	N	N	8	39.66	9	0.14	16	13.78	N	N	N	N
22	4	55.71	5	17.18	8	54.23	N	N	N	N	N	N	8	59.30	9	24.66	16	17.38	N	N	N	N
23	5	6.34	5	30.87	8	56.26	N	N	N	N	N	N	9	17.88	9	49.17	16	21.12	N	N	N	N
24	5	16.31	5	44.54	8	58.37	N	N	N	N	N	N	9	34.14	10	13.65	16	25.01	N	N	N	N
