DeltaDeg	P	S	S-P
0.0	0	0	0
0.5	0	0	0
1.0	0	0	0
1.5	0	0	0
2.0	0	0	0
2.5	0	0	0
3.0	0	0	0
3.5	0	0	0
4.0	0	0	0
4.5	1	1	0
5.0	1	1	0
5.5	1	2	1
6.0	1	2	1
6.5	1	2	1
7.0	1	2	1
7.5	1	2	1
8.0	1	2	1
8.5	2	3	1
9.0	2	3	1
9.5	2	3	1
10	2	3	1
11	2	4	2
12	2	4	2
13	3	5	2
14	3	5	2
15	3	5	2
16	3	5	2
17	3	6	3
18	4	7	3
19	4	7	3
20	4	7	3
21	4	7	3
22	4	8	4
23	5	9	4
24	5	9	4
25	5	9	4
26	5	9	4
27	5	9	4
28	5	9	4
29	5	9	4
30	6	10	4
31	6	11	5
32	6	11	5
33	6	11	5
34	6	11	5
35	6	11	5
36	6	11	5
37	7	12	5
38	7	12	5
39	7	12	5
40	7	13	6
41	7	13	6
42	7	13	6
43	7	13	6
44	8	14	6
45	8	14	6
46	8	14	6
47	8	14	6
48	8	14	6
49	8	15	7
50	8	15	7
51	8	15	7
52	9	16	7
53	9	16	7
54	9	16	7
55	9	16	7
56	9	16	7
57	9	16	7
58	9	16	7
59	9	17	8
60	10	18	8
61	10	18	8
62	10	18	8
63	10	18	8
64	10	18	8
65	10	18	8
66	10	18	8
67	10	18	8
68	10	18	8
69	11	20	9
70	11	20	9
71	11	20	9
72	11	20	9
73	11	20	9
74	11	20	9
75	11	20	9
76	11	20	9
77	11	20	9
78	11	20	9
79	12	21	9
80	12	22	10
81	12	22	10
82	12	22	10
83	12	22	10
84	12	22	10
85	12	22	10
86	12	22	10
87	12	22	10
88	12	22	10
89	12	22	10
90	12	22	10
91	13	23	10
92	13	23	10
93	13	24	11
94	13	24	11
95	13	24	11
96	13	24	11
97	13	24	11
98	13	24	11
99	13	24	11
100	13	24	11
101	13	24	11
102	13	24	11
103	13	24	11
104	13	24	11
105	14	25	11
